colegio,lon,lat
Institucion Educativa Distrital Del Caribe,-74.83080,10.93250
Institucion Educativa Distrital Santo Domingo De Guzman,-74.79990,10.93210
Institucion Educativa Distrital Para El Desarrollo Del Talento Humano,-74.78060,10.96690
Centro De Educacion Basica Y Media 132,-74.78860,10.93680
Institucion Educativa Distrital Arte Y Tecnologia Esther Forero,-74.81490,10.97810
Centro De Educacion Basica 201,-74.85600,10.99940
Colegio Distrital El Canahuate,-74.86420,11.03550
Institucion Educativa Distrital Las Granjas,-74.82500,10.92450
Institucion Educativa Distrital Alfredo Correa De Andreis,-74.80310,10.94050
Institucion Educativa Distrital Para El Desarrollo Humano Maria Cano,-74.79130,10.94880
Institucion Educativa Distrital La Concepcion,-74.79910,11.01230
Institucion Educativa Distrital Esther De Pelaez,-74.78730,10.99320
Colegio Distrital Olaya,-74.80853,10.97760
Institucion Educativa Distrital La Union,-74.79010,10.95220
Institucion Educativa Distrital Eduardo Santos,-74.86350,11.03240
Institucion Educativa Distrital Nuestra Senora De Las Nieves,-74.77680,10.94980
Institucion Educativa Distrital David Sanchez Juliao,-74.80750,10.96480
Institucion Educativa Distrital Nuevo Bosque,-74.76470,10.94500
Institucion Educativa Distrtal Ciudadela,-74.80780,10.93120
Institucion Distrital De Educacion Arte Y Cultura Alejandro Obregon,-74.78880,10.99460
Institucion Educativa Distrital Las Mercedes Colegio San Pablo,-74.83590,11.01470
Institucion Educativa Distrital Madre Marcelina,-74.78890,10.98120
Secretaria De Educacion Distrital - Unale,-74.80200,10.95750
Secretaria De Educacion Distrital De Barranquilla,-74.77900,10.98140
